"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Utrn",3.41916040405239e-07,-1.38599110977884,0.057,0.121,0.00859200817934325
"Cd79b",3.51419724361376e-07,-16.6227415545207,0.818,0.841,0.00883082625347701
"Chchd3",3.5460602419343e-07,-0.887645638529019,0.078,0.155,0.00891089478195669
"Slamf6",3.62442403506087e-07,-0.523007686967588,0.178,0.287,0.00910781515770447
"Clic1",3.74946207341765e-07,1.39875962731714,0.676,0.809,0.00942202324429122
"BC035044",3.75434058580245e-07,-0.887765364099042,0.049,0.11,0.00943428245806298
"Atp13a3",3.75621433424207e-07,0.897075263294325,0.062,0.132,0.0094389910005169
"Sumo1",3.80790953148764e-07,0.581158660972622,0.198,0.318,0.00956889586167528
"Psmd9",3.96362619504336e-07,-0.566716258782837,0.049,0.11,0.00996019626552445
"Uri1",3.98385271011488e-07,-2.03428041875206,0.067,0.137,0.0100110234752477
"Imp3",4.07120494558648e-07,2.04097430740956,0.149,0.249,0.0102305309077643
"Txndc9",4.59215440802445e-07,-0.750264876665979,0.098,0.184,0.0115396248119246
"Zfp207",4.64887960644091e-07,0.6027686785442,0.14,0.238,0.0116821695630254
"Ppp2ca",4.66664905069574e-07,-1.25980389641301,0.172,0.28,0.0117268223994933
"Fcer2a",4.71534083994681e-07,-1.80279242878963,0.362,0.258,0.0118491799967023
"Cd79a",4.81755058084475e-07,-10.0533730343537,0.956,0.937,0.0121060228546048
"H3f3b",5.01026904394064e-07,-11.0220702572282,1,1,0.0125903050805184
"Nsd3",5.30701335335364e-07,-2.13842383953808,0.196,0.305,0.0133359938556424
"Thrap3",5.42832448650101e-07,1.00846925556802,0.263,0.395,0.0136408366021284
"Selenot",5.45689597874942e-07,0.717656947151222,0.173,0.291,0.0137126339049994
"Eif2s2",5.61004324088562e-07,5.93790992966731,0.748,0.675,0.0140974776600215
"Nipbl",5.64690666383697e-07,2.89672235326021,0.288,0.415,0.0141901117555559
"Stk17b",5.65614424513975e-07,3.86995377606592,0.68,0.603,0.0142133248736117
"Snrpg",5.67438092167057e-07,1.90012390496423,0.805,0.771,0.014259151818066
"Rest",5.93252242396912e-07,-0.77608201470526,0.13,0.22,0.014907835599192
"Sap30l",5.97787374919589e-07,-0.673355157534365,0.049,0.108,0.0150217989443543
"Jun",6.0462660253169e-07,-4.251797411738,0.918,0.818,0.0151936618950188
"Otud5",6.08525996687467e-07,-0.857812035738795,0.054,0.117,0.0152916497707594
"Gm20559",6.37063956617268e-07,-2.41597348365498,0.152,0.253,0.0160087801658353
"Plec",6.42086163524141e-07,-0.698538316579635,0.053,0.114,0.0161349832031981
"Hnrnpul1",6.83992520766416e-07,2.6879254613925,0.151,0.249,0.0171880480543393
"Dcaf11",6.90514985446436e-07,-0.663382357915836,0.077,0.15,0.0173519510692835
"Rab2a",7.2079258475678e-07,-0.555934603037367,0.424,0.556,0.0181127968623531
"Psme2",7.89058668287519e-07,-3.35327473315007,0.219,0.327,0.0198282552753971
"Hsp90ab1",8.20646485838184e-07,15.370451287934,0.999,0.998,0.0206220255426277
"Hdac7",8.30553570747853e-07,-1.47424750378531,0.088,0.166,0.0208709806793228
"Strbp",8.33664456486612e-07,-0.580184850502071,0.315,0.482,0.0209491541270521
"Actr10",8.43394229310494e-07,-0.617574136375959,0.079,0.15,0.0211936535883434
"Zup1",8.58517604145259e-07,-0.534354035817587,0.181,0.289,0.0215736888745662
"Pfn1",8.61397624140452e-07,15.0909997674535,0.993,0.975,0.0216460608970254
"L3mbtl3",9.31664933110226e-07,-0.672073317168588,0.048,0.105,0.0234118081041269
"Hp1bp3",9.58919007887856e-07,1.70263513879379,0.17,0.28,0.0240966757492139
"Cxcr4",9.63017018029494e-07,2.63781181643651,0.358,0.26,0.0241996546460631
"Rab43",9.72021470977898e-07,-0.676609691656515,0.068,0.137,0.0244259275442036
"H2-Q6",1.00103442638572e-06,-0.628207192195044,0.083,0.157,0.0251549941006468
"Ifi27",1.00923074604705e-06,-3.11961098932005,0.069,0.139,0.0253609594174163
"Baz2b",1.02530821660427e-06,-0.617400165858077,0.218,0.33,0.0257649701750488
"Lamp1",1.18662522931668e-06,1.24966274673245,0.776,0.637,0.0298187053874988
"Tfrc",1.27680877373946e-06,0.733389640372425,0.051,0.11,0.0320849276752989
"Sltm",1.29027779177751e-06,1.13146708843929,0.239,0.363,0.032423390629577
"Asf1a",1.30465000150582e-06,-0.615094637519858,0.058,0.121,0.0327845498878397
"Hikeshi",1.51361021971668e-06,-1.04746593881447,0.05,0.108,0.0380355112112605
"Uqcrq",1.54864955748471e-06,2.85690342325137,0.844,0.715,0.0389160147300334
"Gtf2i",1.5912807909024e-06,-1.16288547006696,0.054,0.114,0.0399872949945865
"Cxxc5",1.6254630891629e-06,-0.588055920297454,0.091,0.166,0.0408462619675745
"Plekho1",1.6288349513778e-06,-1.68109927238772,0.132,0.22,0.0409309934931727
"Arid2",1.63599457557925e-06,-0.872891690479584,0.059,0.121,0.0411109076897309
"Scp2",1.66882693487836e-06,0.576978264493312,0.384,0.536,0.0419359520465582
"Snrpc",1.81467445761377e-06,-1.66762659867309,0.124,0.211,0.0456009544453764
"Eif6",1.83174523827568e-06,-0.581964839295973,0.101,0.182,0.0460299260926295
"Dock8",1.86418474813438e-06,-0.559785443503498,0.167,0.265,0.0468450985358689
"Tcf4",1.86640308213672e-06,3.46820028531247,0.262,0.39,0.0469008430510136
"Nol7",1.91691305745553e-06,1.40302700543096,0.458,0.639,0.0481701082207999
"Topors",1.91945783328746e-06,-1.25410721527122,0.075,0.143,0.0482340558926805
"Oga",1.92389864148269e-06,-1.99831750148981,0.116,0.202,0.0483456489618185
