"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tcf3",4.19201979602937e-14,-2.21213844483134,0.111,0.24,1.05341265454422e-09
"Vpreb3",5.85842594435847e-14,-10.1359538874177,0.399,0.531,1.47216385555784e-09
"Prep",7.27775744542414e-14,-2.90366781605645,0.037,0.117,1.82882766846063e-09
"Ifi206",9.75438851419153e-14,-2.16049649016069,0.034,0.11,2.45118028973119e-09
"Lynx1",1.16979822125016e-13,-0.636445312865217,0.052,0.143,2.93958595017953e-09
"Ddx46",1.32743888815554e-13,0.814266517757503,0.226,0.399,3.33572118204605e-09
"Mup4",1.58597722327808e-13,89.4806717168098,0.057,0.152,3.9854021643755e-09
"Ifi203",1.97318247521083e-13,-6.11619263212915,0.302,0.457,4.95841024195729e-09
"Siglecg",2.22953293202828e-13,-1.46659424802053,0.252,0.415,5.60259330489387e-09
"Ddx58",2.7770863778956e-13,-1.57364983683415,0.068,0.17,6.97854035901385e-09
"Pcp4l1",2.9764091664759e-13,-2.46389668341769,0.193,0.336,7.4794185944373e-09
"B2m",3.75187975263782e-13,-7.54259994886162,0.964,0.978,9.42809863040358e-09
"Arglu1",3.85075208593375e-13,-1.12332937531746,0.446,0.641,9.67655491674291e-09
"Mbd2",4.14201827309492e-13,0.664568256590641,0.094,0.213,1.04084777184602e-08
"Pde2a",4.1584673441598e-13,-0.545066754914236,0.034,0.108,1.04498125891392e-08
"Anp32a",4.77769453447363e-13,0.791319497605533,0.263,0.444,1.20058685956788e-08
"Mpc2",5.84398690498036e-13,-2.63761167565606,0.212,0.397,1.46853546935251e-08
"Ptprcap",1.0038242270233e-12,-3.54746375099688,0.556,0.713,2.52250990008685e-08
"H2-D1",1.06146437413291e-12,-6.74694897033934,0.942,0.969,2.66735382575859e-08
"Ndufa8",1.12250608328372e-12,-0.761803239029034,0.117,0.242,2.82074553668367e-08
"Rnf10",1.67665901840278e-12,-0.902974739272151,0.08,0.186,4.21327644734435e-08
"Psmb6",1.8823077485808e-12,-0.69818113237237,0.176,0.33,4.73005114140869e-08
"Cyb5a",2.05824287570111e-12,-1.03742530582943,0.356,0.504,5.17215852234933e-08
"Nono",2.35969438466171e-12,-0.873693521922266,0.192,0.343,5.92967601921641e-08
